Id,SalePrice
1461,113752.6432
1462,172009.2917
1463,186432.1364
1464,195479.2645
1465,191449.8419
1466,175902.6102
1467,184993.5015
1468,165035.729
1469,180536.5841
1470,126006.1509
1471,183981.6595
1472,96007.74094
1473,100847.1191
1474,149894.0609
1475,119970.9476
1476,376161.5381
1477,263774.1451
1478,296452.8578
1479,286624.0326
1480,499483.5664
1481,315945.0385
1482,202271.0322
1483,184312.249
1484,166197.0475
1485,184467.0756
1486,197415.2433
1487,324908.206
1488,228167.3595
1489,204492.2331
1490,259383.1142
1491,189239.0552
1492,67510.21879
1493,169039.0967
1494,291922.5242
1495,278156.6263
1496,260017.0556
1497,183584.9234
1498,162215.7277
1499,153651.7597
1500,151993.7798
1501,183067.5653
1502,147126.8505
1503,267944.8621
1504,248164.6322
1505,237073.111
1506,188075.7734
1507,263524.5099
1508,208447.9545
1509,170977.8121
1510,142273.037
1511,152622.8997
1512,178932.3014
1513,150333.7692
1514,115023.1964
1515,201263.3551
1516,163467.4826
1517,178012.4254
1518,134998.5072
1519,214255.4015
1520,134044.3413
1521,130456.0673
1522,176099.3547
1523,115080.1223
1524,130062.5905
1525,122504.8315
1526,119023.6783
1527,104982.2994
1528,132024.5135
1529,156542.35
1530,187021.2022
1531,82995.94361
1532,109465.8234
1533,143037.4197
1534,119015.5718
1535,135574.6392
1536,101209.9163
1537,31906.39813
1538,149995.9112
1539,219486.9457
1540,76527.86726
1541,142387.4735
1542,128499.9481
1543,209500.8904
1544,87020.00099
1545,119027.4962
1546,128021.2958
1547,131977.1877
1548,139867.876
1549,123880.4558
1550,141236.2528
1551,109492.5305
1552,149489.0894
1553,159907.9186
1554,126619.8647
1555,172983.8922
1556,107518.757
1557,99976.30011
1558,94985.28567
1559,93366.01893
1560,114917.9438
1561,135996.5381
1562,131498.7012
1563,120892.02
1564,160250.8157
1565,155895.8017
1566,255449.3023
1567,85006.30273
1568,229993.2149
1569,123972.5636
1570,142401.2701
1571,127012.2799
1572,144438.6347
1573,262563.7588
1574,113982.696
1575,266461.3897
1576,221346.4862
1577,187024.0647
1578,138482.4949
1579,159016.1585
1580,192399.4875
1581,149973.7407
1582,126990.5661
1583,305720.5048
1584,226382.068
