ID,Calories_Burned
TEST_0000,172.69422476902432
TEST_0001,189.81280568111387
TEST_0002,53.3385663106131
TEST_0003,161.0706417246592
TEST_0004,226.89120487052207
TEST_0005,178.5101316297346
TEST_0006,98.16517010790031
TEST_0007,44.08464305061496
TEST_0008,79.17771377528246
TEST_0009,58.83062582668672
TEST_0010,123.08245070495263
TEST_0011,54.694871890689654
TEST_0012,14.0169232115025
TEST_0013,176.69886379901882
TEST_0014,229.52919075198415
TEST_0015,13.410420053247966
TEST_0016,97.67174809212236
TEST_0017,129.75365829851376
TEST_0018,158.30139025682857
TEST_0019,6.868103644221068
TEST_0020,50.24425870799694
TEST_0021,89.53575546538626
TEST_0022,24.851362692065603
TEST_0023,86.7839897117368
TEST_0024,19.77291903945854
TEST_0025,128.87799614794196
TEST_0026,105.25777253146813
TEST_0027,189.29883452005143
TEST_0028,121.02917657867395
TEST_0029,99.95045201928897
TEST_0030,25.06557290601168
TEST_0031,242.96388220824718
TEST_0032,54.80472422849578
TEST_0033,46.834048917407294
TEST_0034,133.77424366230832
TEST_0035,112.5990340905971
TEST_0036,37.86713031288108
TEST_0037,129.1861304748193
TEST_0038,10.902512374776336
TEST_0039,129.35296538710446
TEST_0040,201.843488323075
TEST_0041,168.11637995490202
TEST_0042,145.58694991347807
TEST_0043,59.98187045850493
TEST_0044,67.98648201723441
TEST_0045,52.81177519308416
TEST_0046,77.6500693445232
TEST_0047,198.09230505663461
TEST_0048,138.98574720496873
TEST_0049,125.69647675804424
TEST_0050,11.100584358446351
TEST_0051,112.15004667731573
TEST_0052,158.2279856649194
TEST_0053,92.46583339325888
TEST_0054,68.80104661857148
TEST_0055,86.71498075180402
TEST_0056,159.67872594826264
TEST_0057,18.053506560991114
TEST_0058,30.27926191538647
TEST_0059,96.01900312499747
TEST_0060,39.0011360132896
TEST_0061,109.46116981476223
TEST_0062,90.16668110470724
TEST_0063,50.79236672543082
TEST_0064,34.53415301523137
TEST_0065,135.3160848973542
TEST_0066,230.6235995779739
TEST_0067,125.32549219977378
TEST_0068,101.625216388468
TEST_0069,44.61896470115275
TEST_0070,124.97005672405865
TEST_0071,25.836954753616475
TEST_0072,9.15735307342612
TEST_0073,151.5926802384349
TEST_0074,32.10307230320207
TEST_0075,90.87751992488987
TEST_0076,63.81688432523078
TEST_0077,65.70016215920637
TEST_0078,44.23089844665799
TEST_0079,188.00909974344202
TEST_0080,173.57382476740892
TEST_0081,137.0349555240553
TEST_0082,90.74539655182184
TEST_0083,101.472924155738
TEST_0084,56.337336020573716
TEST_0085,178.99143837679728
TEST_0086,125.5707401303193
TEST_0087,17.69923998878242
TEST_0088,144.334418849645
TEST_0089,42.18227901509625
TEST_0090,41.071870306769185
TEST_0091,36.73155178619972
TEST_0092,24.20488013400925
TEST_0093,195.63281650704744
TEST_0094,4.483841702331782
TEST_0095,10.116589870659512
TEST_0096,239.09120614551333
TEST_0097,140.54940319065864
TEST_0098,186.28478332793802
TEST_0099,174.08004484623777
TEST_0100,13.249446934076758
TEST_0101,99.27502227857515
TEST_0102,187.41742882487063
TEST_0103,165.55084391258828
TEST_0104,64.17930386596302
TEST_0105,166.5673202302602
TEST_0106,36.65410902834883
TEST_0107,20.688081904533753
TEST_0108,187.83115937098296
TEST_0109,30.328002257671432
TEST_0110,111.0327990276842
TEST_0111,185.3582826930918
TEST_0112,47.29345619270248
TEST_0113,146.83800244327063
TEST_0114,55.78344233112209
TEST_0115,81.12931806568025
TEST_0116,79.1947587063902
