,key_rdate,key_title,label
0,2019-12-13 15:34:00,(마감)코스피 기관 4775억 매수 우위,1
1,2019-12-16 07:16:00,"""제한된 미중 '1단계' 무역합의…글로벌 경기 회복 지연 경계""",0
2,2019-12-16 15:47:00,"위안·달러 환율 떨어지면…""외국인 매수 신호""",0
3,2019-12-17 07:59:00,"펩트론, JP모건 헬스케어 컨퍼런스 초청받아…빅파마와 미팅",0
4,2019-12-17 17:44:00,"잘나갈 때 무리했나…여천NCC, 부메랑 된 설비투자",0
5,2019-12-18 09:19:00,"코스피, 장중 2200선 회복…올 5월 이후 7개월여만",1
6,2019-12-18 17:23:00,"""반도체株 '폭풍 드리블' 연말까지 간다""",0
7,2019-12-19 09:22:00, 삼성전자·SK하이닉스 5일째 장중 신고가,1
8,2019-12-19 22:50:00, (19일) SK디스커버리 등,0
9,2019-12-20 09:13:00,"나이키, 기대 넘는 실적 발표…조던 브랜드 첫 10억달러 매출",1
10,2019-12-20 17:56:00,"한진, 한진칼에 자사주 17만주 시간외대량매매로 처분",0
11,2019-12-23 09:17:00,"쌍용차, 장중 급등…대주주 지원 가능성",1
12,2019-12-24 07:09:00,"""아프리카TV, 장기 성장성 여전히 견조""-한투",1
13,2019-12-24 15:41:00,(마감)코스피 기관 2327억 매수 우위,1
14,2019-12-26 09:15:00,"신한금투 ""고영 내년 실적개선 전망…목표가↑""",1
15,2019-12-27 01:01:00, (27일) 신규상장=한화플러스제1호스팩(340440),0
16,2019-12-27 15:34:00,"코스피, 배당락에도 올라 사흘만에 2200선 회복",1
17,2019-12-30 02:40:00, 12월 30일(월) ~ 1월 3일(금),0
18,2019-12-30 15:08:00,"현대약품, 자폐범주성장애 치료제 국내 권리 획득",1
19,2019-12-30 15:52:00,"프리텔레콤, 환경이엔지 주식 86억원어치 취득…지분율 46.3%",0
20,2019-12-30 18:33:00,"윙입푸드-푸드나무, 합작회사 설립… “중국 판매망 통해 닭고기 건강식품 유통”",0
21,2019-12-31 15:11:00,현대모비스 '현대車그룹 대장주' 넘본다,0
22,2020-01-01 10:40:00,[2020년 전망] 글로벌 경기 반등 속 韓 수출‧내수 회복,1
23,2020-01-01 13:30:00,[2020년 전망] 코스피 2400 노린다…'상고하저',0
24,2020-01-01 15:00:00,[2020년 전망] 반도체 주도…미디어·중국 소비주도 유망,1
25,2020-01-02 06:48:00,[여의도스트라이크23회] 2019년 결산 - 정치편,0
26,2020-01-02 07:58:00,"""줌인터넷, 올해도 광고 매출액 성장 전망""",1
27,2020-01-02 08:19:00,"[신년사] 정영채 NH투자증권 대표 ""고객과 새로운 관계 맺기 시도해야""",0
28,2020-01-02 08:24:00,"[I-리포트] 현대건설, 해외 원가율 상승… 목표가↓ -KB證",1
29,2020-01-02 08:31:00,"[I-리포트] 이노션, 웰콤 인수 효과로 증익 전망 –NH證",1
30,2020-01-02 08:37:00,"[I-리포트] 엔씨소프트, 신작 효과로 주가 추가 상승 기대 - 신영증권",1
31,2020-01-02 08:42:00,"[I-리포트] LG이노텍, 5G폰 출시 증가로 역대 최고 실적 전망-대신證",1
32,2020-01-02 08:47:00,"[I-리포트] NEW, 검증된 제작역량…수익성 개선 기대-NH證",1
33,2020-01-02 08:49:00,"[I-리포트] 엘앤씨바이오, 2020년 신사업 확장 본격 가시화 - 유안타증권",1
34,2020-01-02 09:20:00,"한화투자증권, 2020 비대면 신규·휴면고객 계좌개설 이벤트",0
35,2020-01-02 09:24:00,"정일문 한투證 대표 ""새로운 10년의 시작…초석·기틀 다져야""",0
36,2020-01-02 09:30:00,"[신년사] 이병래 예탁결제원 사장 ""디지털 기반 혁신금융 선도""",1
37,2020-01-02 10:07:00,"[개장시황] 코스피, 새 해 개장일 2200선 출발",0
38,2020-01-02 10:14:00,"[특징주] 에프엔에스테크, 700억 규모 수주 소식에 '급등'",1
