key_title,key_rdate,key_cont
" 원/달러 환율 1.2원 내린 1,327.0원(개장)",2022.11.25 09:00,/연합뉴스
"철강주→리튬주로 변신한 포스코홀딩스 주가 40%↑…""내년 기업가치 부각 본격화""",2022.11.24 16:41,철강주에서 리튬주로 변신한 포스코홀딩스가 기업 가치를 재평가 받으며 두달새 40% 가까이 급등했다. 전문가들은 리튬 생산 실적이 가시화되는 내년부터 주가...
" 초고수들, 고려아연 경영분쟁 관련주 집중매수",2022.11.24 11:00,※한경 마켓PRO 텔레그램 을 구독하시면 프리미엄 투자 콘텐츠를 보다 편리하게 볼 수 있습니다. 고수들의 포트폴리오 투자수익률 상위 1%의 주식 초고수들...
" 원/달러 환율 14.3원 내린 1,337.5원(개장)",2022.11.24 09:00,/연합뉴스
지난달 기업 회사채 발행 49% '급감'…은행채 60%↓,2022.11.24 06:01,지난달 국내 기업의 직접금융 자금 조달에서 회사채 발행 규모가 대폭 줄어든 것으로 집계됐다. 24일 금융감독원이 발표한 '10월 중 기업의 직접금융 조달...
"""코로나 백신 생산 잠정 중단""…SK바사 7% 급락",2022.11.23 14:21,SK바이오사이언스의 국산 1호 코로나19 백신 생산이 잠정 중단됐다는 소식에 장 중반 주가가 하락세를 보이고 있다. 23일 오후 1시 47분 현재 SK바...
"NH아문디, 글로벌신재생에너지MSCI ETF 30일 상장",2022.11.23 09:47,NH아문디자산운용이 글로벌신재생에너지MSCI ETF를 오는 30일 상장한다고 밝혔다. NH아문디자산운용이 이번에 상장하는 'HANARO 글로벌신재생에너지...
"""SK, 부진한 실적·자회사 업황 우려…목표가↓""-하나",2022.11.23 08:24,하나금융그룹은 23일 SK에 대해 영업이익이 시장 추정치에 미치지 못했다며 목표주가를 기존 38만원에서 34만원으로 내렸다. 다만 자회사들의 성장이 기대...
"외인·기관 '팔자'…코스피 2,400 '턱걸이'",2022.11.22 15:53,"코스피가 외국인과 기관의 ‘팔자’ 기조에 2거래일 연속 하락 마감했다. 김석환 미래에셋증권 연구원은 ""외국인과 기관의 매물 출회에 ..."
"도이치모터스, 사직오토랜드 450억원에 인수",2022.11.22 10:42,자동차 종합 서비스 기업 도이치모터스는 부산광역시에 기반을 둔 대규모 중고차 매매단지인 사직오토랜드의 지분 100% 인수하는 계약을 체결했다고 22일 밝...
"빗썸 ""합리적 가상자산 규제, 산업 발전 주춧돌 될 것""",2022.11.22 08:55,국내 가상자산(암호화폐) 거래소 빗썸 산하 빗썸경제연구소는 향후 도입될 디지털자산 법안을 포함한 합리적 가상자산 규제가 산업 발전의 주출돌이 될 것으로 ...
코스닥 '탐욕의 머니게임'…개미들만 죽어난다,2022.11.21 18:30,적자 한계기업이다. 신용등급도 없다. 그럼에도 발행금리는 제로 수준이다. 특정인만 참여할 수 있는 사모 방식으로 자금을 모집한다. 투자자가 줄을 선다. ...
