id,Rings
90615,10.00488
90616,9.648194
90617,9.857175
90618,10.498637
90619,7.8357487
90620,9.304767
90621,10.82181
90622,6.2148056
90623,8.026896
90624,10.963997
90625,11.105316
90626,6.2148056
90627,9.392964
90628,11.859675
90629,7.655362
90630,7.459466
90631,11.778104
90632,6.2148056
90633,9.692768
90634,9.956834
90635,6.2148056
90636,7.199974
90637,9.646648
90638,8.756988
90639,9.740125
90640,10.456646
90641,7.716592
90642,10.007926
90643,6.2148056
90644,10.549952
90645,10.069833
90646,9.105721
90647,11.079202
90648,12.207374
90649,12.309259
90650,9.9740305
90651,8.980112
90652,8.472335
90653,11.726973
90654,6.2148056
90655,8.2468815
90656,10.364994
90657,8.386143
90658,6.2148056
90659,9.520561
90660,7.2479258
90661,8.347362
90662,7.3204174
90663,9.306042
90664,7.645156
90665,12.645116
90666,9.000141
90667,6.2148056
90668,10.292505
90669,9.754074
90670,9.352621
90671,10.136972
90672,8.844005
90673,11.722925
90674,7.2945795
90675,6.2148056
90676,11.177165
90677,10.815648
90678,6.2148056
90679,8.878324
90680,9.937717
90681,9.569297
90682,12.519865
90683,10.105468
90684,11.138425
90685,10.794246
90686,6.2148056
90687,10.311815
90688,8.764778
90689,10.4077835
90690,13.389667
90691,8.193435
90692,10.918334
90693,11.491466
90694,9.099277
90695,8.68828
90696,9.73274
90697,7.7074823
90698,9.261945
90699,6.2148056
90700,10.404624
90701,10.334151
90702,9.940975
90703,11.455805
90704,6.2148056
90705,11.255687
90706,11.229417
90707,6.2148056
90708,8.677261
90709,9.357761
90710,9.4746895
90711,9.433584
90712,8.928834
90713,12.778848
90714,7.192052
90715,8.302818
90716,7.3201103
90717,9.287593
90718,6.2148056
90719,6.2148056
90720,10.683171
90721,8.931194
90722,8.916816
90723,8.022304
90724,10.024644
90725,6.2148056
90726,7.6440077
90727,8.176628
90728,10.33832
90729,10.269549
90730,10.168323
90731,6.2148056
90732,7.571988
90733,10.642152
90734,8.960035
90735,7.915536
90736,7.670498
90737,6.2148056
90738,7.171088
90739,13.456746
90740,10.309226
90741,6.2148056
90742,9.206342
90743,11.999661
90744,6.866093
90745,6.2148056
90746,8.436091
90747,6.2148056
90748,12.810675
90749,9.395096
90750,6.2148056
90751,7.12751
90752,7.950493
90753,7.22985
90754,9.040443
90755,8.732502
90756,8.940713
90757,10.890763
90758,8.884729
90759,7.5048065
90760,7.9343023
90761,9.684575
90762,9.038977
90763,9.125816
90764,11.835296
90765,10.928307
90766,7.555444
90767,12.182467
90768,11.74662
90769,6.2148056
90770,10.9098835
90771,10.450611
90772,6.2148056
90773,8.012721
90774,6.2148056
90775,9.348162
